epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.3349	1.7114	|	0.2756	0.4000	0.4000	0.4000	|	0.1797	0.2460	0.2460	0.2460	|  Best result at epoch 0
1	1.0138	1.7450	|	0.2612	0.2890	0.2890	0.2890	|	0.3222	0.4060	0.4060	0.4060	|  Best result at epoch 0
2	0.9106	1.8004	|	0.4222	0.4890	0.4890	0.4890	|	0.3782	0.4460	0.4460	0.4460	|  Best result at epoch 2
3	0.8315	2.0075	|	0.4098	0.4890	0.4890	0.4890	|	0.3828	0.4460	0.4460	0.4460	|  Best result at epoch 2
4	0.7756	2.3846	|	0.3367	0.4080	0.4080	0.4080	|	0.2839	0.2750	0.2750	0.2750	|  Best result at epoch 2
5	0.7402	2.6424	|	0.3367	0.4080	0.4080	0.4080	|	0.3004	0.2750	0.2750	0.2750	|  Best result at epoch 2
6	0.7098	2.8477	|	0.3285	0.4060	0.4060	0.4060	|	0.3095	0.3160	0.3160	0.3160	|  Best result at epoch 2
7	0.6973	3.4269	|	0.3217	0.4080	0.4080	0.4080	|	0.2691	0.2750	0.2750	0.2750	|  Best result at epoch 2
8	0.6736	3.6739	|	0.3195	0.4080	0.4080	0.4080	|	0.2969	0.3140	0.3140	0.3140	|  Best result at epoch 2
9	0.6696	3.6896	|	0.3189	0.4080	0.4080	0.4080	|	0.2969	0.3140	0.3140	0.3140	|  Best result at epoch 2
10	0.6528	3.8428	|	0.3195	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
11	0.6519	4.2466	|	0.3217	0.4080	0.4080	0.4080	|	0.2735	0.2750	0.2750	0.2750	|  Best result at epoch 2
12	0.6475	4.2090	|	0.3217	0.4080	0.4080	0.4080	|	0.2691	0.2750	0.2750	0.2750	|  Best result at epoch 2
13	0.6485	4.1010	|	0.3192	0.4080	0.4080	0.4080	|	0.2969	0.3140	0.3140	0.3140	|  Best result at epoch 2
14	0.6495	4.2742	|	0.3217	0.4080	0.4080	0.4080	|	0.2691	0.2750	0.2750	0.2750	|  Best result at epoch 2
15	0.6412	4.3061	|	0.3217	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
16	0.6377	3.6208	|	0.3269	0.4060	0.4060	0.4060	|	0.2489	0.2810	0.2810	0.2810	|  Best result at epoch 2
17	0.6435	4.0221	|	0.3217	0.4080	0.4080	0.4080	|	0.3043	0.3140	0.3140	0.3140	|  Best result at epoch 2
18	0.6403	4.1984	|	0.3192	0.4080	0.4080	0.4080	|	0.2910	0.3140	0.3140	0.3140	|  Best result at epoch 2
19	0.6475	3.8603	|	0.3199	0.4080	0.4080	0.4080	|	0.2965	0.3130	0.3130	0.3130	|  Best result at epoch 2
20	0.6450	3.8370	|	0.3278	0.4060	0.4060	0.4060	|	0.2930	0.3100	0.3100	0.3100	|  Best result at epoch 2
21	0.6293	3.8711	|	0.3282	0.4060	0.4060	0.4060	|	0.2875	0.3100	0.3100	0.3100	|  Best result at epoch 2
22	0.6331	3.6686	|	0.3189	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
23	0.6302	4.2510	|	0.3195	0.4080	0.4080	0.4080	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
24	0.6367	4.1800	|	0.3335	0.4080	0.4080	0.4080	|	0.2742	0.2750	0.2750	0.2750	|  Best result at epoch 2
25	0.6280	3.9035	|	0.3195	0.4080	0.4080	0.4080	|	0.2913	0.3140	0.3140	0.3140	|  Best result at epoch 2
26	0.6225	3.8360	|	0.3282	0.4060	0.4060	0.4060	|	0.2934	0.3100	0.3100	0.3100	|  Best result at epoch 2
27	0.6139	4.2941	|	0.3215	0.4080	0.4080	0.4080	|	0.2814	0.2750	0.2750	0.2750	|  Best result at epoch 2
28	0.6267	4.3288	|	0.2935	0.4060	0.4060	0.4060	|	0.2298	0.2710	0.2710	0.2710	|  Best result at epoch 2
29	0.6164	4.2714	|	0.3215	0.4080	0.4080	0.4080	|	0.2794	0.2750	0.2750	0.2750	|  Best result at epoch 2
30	0.6226	4.0154	|	0.3278	0.4060	0.4060	0.4060	|	0.2872	0.3100	0.3100	0.3100	|  Best result at epoch 2
31	0.6035	4.2858	|	0.3208	0.4080	0.4080	0.4080	|	0.2750	0.2750	0.2750	0.2750	|  Best result at epoch 2
32	0.6106	3.9400	|	0.3282	0.4060	0.4060	0.4060	|	0.2825	0.3100	0.3100	0.3100	|  Best result at epoch 2
33	0.6005	4.1657	|	0.3183	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
34	0.6062	4.2970	|	0.3195	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
35	0.6084	4.2551	|	0.3282	0.4060	0.4060	0.4060	|	0.2934	0.3100	0.3100	0.3100	|  Best result at epoch 2
36	0.5964	4.1410	|	0.3282	0.4060	0.4060	0.4060	|	0.2875	0.3100	0.3100	0.3100	|  Best result at epoch 2
37	0.5928	4.2379	|	0.3189	0.4080	0.4080	0.4080	|	0.2972	0.3140	0.3140	0.3140	|  Best result at epoch 2
38	0.5971	4.1709	|	0.3217	0.4080	0.4080	0.4080	|	0.2735	0.2750	0.2750	0.2750	|  Best result at epoch 2
